,day,time,play,relay,park,bigo
0,06.01(금),18:30,한화13vs6롯데,리뷰,사직,-
1,06.02(토),17:00,한화3vs2롯데,리뷰,사직,-
2,06.03(일),17:00,한화0vs6롯데,리뷰,사직,-
3,06.05(화),18:30,한화3vs7LG,리뷰,잠실,-
4,06.06(수),14:00,한화5vs1LG,리뷰,잠실,-
5,06.07(목),18:30,한화5vs6LG,리뷰,잠실,-
6,06.08(금),18:30,SK5vs7한화,리뷰,대전,-
7,06.09(토),17:00,SK4vs2한화,리뷰,대전,-
8,06.10(일),17:00,SK3vs4한화,리뷰,대전,-
9,06.12(화),18:30,한화6vs2넥센,리뷰,고척,-
10,06.13(수),18:30,한화2vs4넥센,리뷰,고척,-
11,06.14(목),18:30,한화9vs8넥센,리뷰,고척,-
12,06.15(금),18:30,두산13vs4한화,리뷰,대전,-
13,06.16(토),17:00,두산8vs3한화,리뷰,대전,-
14,06.17(일),17:00,두산6vs11한화,리뷰,대전,-
15,06.19(화),18:30,LG4vs0한화,리뷰,청주,-
16,06.20(수),18:30,LG7vs11한화,리뷰,청주,-
17,06.21(목),18:30,LG6vs9한화,리뷰,청주,-
18,06.22(금),18:30,한화5vs0NC,리뷰,마산,-
19,06.23(토),17:00,한화8vs1NC,리뷰,마산,-
20,06.24(일),17:00,한화5vs3NC,리뷰,마산,-
21,06.26(화),18:30,삼성13vs2한화,리뷰,대전,-
22,06.27(수),18:30,삼성0vs4한화,리뷰,대전,-
23,06.28(목),18:30,삼성3vs8한화,리뷰,대전,-
24,06.29(금),18:30,롯데2vs5한화,리뷰,대전,-
25,06.30(토),17:00,롯데5vs6한화,리뷰,대전,-
26,07.03(화),18:30,한화2vs9KIA,리뷰,광주,-
27,07.04(수),18:30,한화4vs6KIA,리뷰,광주,-
28,07.05(목),18:30,한화8vs2KIA,리뷰,광주,-
29,07.06(금),18:30,한화0vs6SK,리뷰,문학,-
30,07.07(토),18:00,한화4vs5SK,리뷰,문학,-
31,07.08(일),18:00,한화5vs2SK,리뷰,문학,-
32,07.10(화),18:30,넥센1vs4한화,리뷰,대전,-
33,07.11(수),18:30,넥센22vs8한화,리뷰,대전,-
34,07.12(목),18:30,넥센1vs4한화,리뷰,대전,-
35,07.17(화),18:30,한화8vs1KT,리뷰,수원,-
36,07.18(수),18:30,한화2vs4KT,리뷰,수원,-
37,07.19(목),18:30,한화7vs8KT,리뷰,수원,-
38,07.20(금),18:30,한화1vs0삼성,리뷰,대구,-
39,07.21(토),18:00,한화3vs4삼성,리뷰,대구,-
40,07.22(일),18:00,한화4vs5삼성,리뷰,대구,-
41,07.24(화),18:30,KIA0vs5한화,리뷰,대전,-
42,07.25(수),18:30,KIA11vs3한화,리뷰,대전,-
43,07.26(목),18:30,KIA3vs6한화,리뷰,대전,-
44,07.27(금),18:30,한화16vs7두산,리뷰,잠실,-
45,07.28(토),18:00,한화6vs13두산,리뷰,잠실,-
46,07.29(일),18:00,한화1vs3두산,리뷰,잠실,-
47,07.31(화),18:30,KT5vs4한화,리뷰,대전,-
48,08.01(수),18:30,KT3vs4한화,리뷰,대전,-
49,08.02(목),18:30,KT3vs5한화,리뷰,대전,-
50,08.04(토),18:00,NC7vs5한화,리뷰,대전,-
51,08.05(일),18:00,NC10vs8한화,리뷰,대전,-
52,08.07(화),18:30,한화4vs6두산,리뷰,잠실,-
53,08.08(수),18:30,한화8vs2두산,리뷰,잠실,-
54,08.09(목),18:30,넥센16vs5한화,리뷰,청주,-
55,08.10(금),18:30,넥센9vs4한화,리뷰,청주,-
56,08.11(토),18:00,KT3vs5한화,리뷰,대전,-
57,08.12(일),18:00,KT4vs5한화,리뷰,대전,-
58,08.14(화),18:30,한화4vs9롯데,리뷰,사직,-
59,08.16(목),18:30,한화2vs5삼성,리뷰,대구,-
60,09.04(화),18:30,롯데4vs6한화,리뷰,대전,-
61,09.05(수),18:30,롯데5vs11한화,리뷰,대전,-
62,09.06(목),18:30,한화9vs2KT,리뷰,수원,-
63,09.07(금),18:30,한화4vs12KT,리뷰,수원,-
64,09.08(토),17:00,한화1vs5LG,리뷰,잠실,-
65,09.09(일),14:00,한화5vs8LG,리뷰,잠실,-
66,09.11(화),18:30,한화8vs7삼성,리뷰,대구,-
67,09.12(수),18:30,한화7vs3삼성,리뷰,대구,-
68,09.13(목),18:30,SK2vs1한화,리뷰,청주,-
69,09.14(금),18:30,SK7vs5한화,리뷰,청주,-
70,09.15(토),17:00,LG12vs4한화,리뷰,대전,-
71,09.16(일),14:00,LG1vs5한화,리뷰,대전,-
72,09.18(화),18:30,한화3vs10NC,리뷰,마산,-
73,09.19(수),18:30,한화7vs4NC,리뷰,마산,-
74,09.20(목),18:30,한화8vs2SK,리뷰,문학,-
75,09.21(금),18:30,한화4vs5SK,리뷰,문학,-
76,09.22(토),17:00,KIA11vs5한화,리뷰,대전,-
77,09.23(일),14:00,KIA6vs8한화,리뷰,대전,-
78,09.25(화),14:00,삼성8vs1한화,리뷰,대전,-
79,09.26(수),14:00,삼성4vs8한화,리뷰,대전,-
80,09.27(목),18:30,두산6vs9한화,리뷰,대전,-
81,09.28(금),18:30,두산4vs5한화,리뷰,대전,-
82,09.29(토),17:00,한화3vs4KIA,리뷰,광주,-
83,09.30(일),14:00,한화4vs6KIA,리뷰,광주,-
84,06.01(토),17:00,한화6vs0SK,리뷰,문학,-
85,06.02(일),17:00,한화2vs5SK,리뷰,문학,-
86,06.04(화),18:30,한화2vs3롯데,리뷰,울산,-
87,06.05(수),18:30,한화6vs3롯데,리뷰,울산,-
88,06.06(목),14:00,한화4vs3롯데,리뷰,울산,-
89,06.07(금),18:30,LG2vs3한화,리뷰,대전,-
90,06.08(토),17:00,LG3vs2한화,리뷰,대전,-
91,06.09(일),17:00,LG3vs1한화,리뷰,대전,-
92,06.11(화),18:30,두산1vs4한화,리뷰,대전,-
93,06.12(수),18:30,두산9vs6한화,리뷰,대전,-
94,06.13(목),18:30,두산7vs2한화,리뷰,대전,-
95,06.14(금),18:30,한화7vs8키움,리뷰,고척,-
96,06.15(토),17:00,한화3vs8키움,리뷰,고척,-
97,06.16(일),17:00,한화6vs9키움,리뷰,고척,-
98,06.18(화),18:30,롯데11vs3한화,리뷰,대전,-
99,06.19(수),18:30,롯데7vs5한화,리뷰,대전,-
100,06.20(목),18:30,롯데7vs10한화,리뷰,대전,-
101,06.21(금),18:30,삼성5vs2한화,리뷰,대전,-
102,06.22(토),17:00,삼성0vs5한화,리뷰,대전,-
103,06.23(일),17:00,삼성10vs5한화,리뷰,대전,-
104,06.25(화),18:30,한화14vs3NC,리뷰,창원,-
105,06.27(목),18:30,한화5vs10NC,리뷰,창원,-
106,06.28(금),18:30,키움6vs5한화,리뷰,대전,-
107,06.30(일),17:00,키움6vs4한화,리뷰,대전,-
108,07.02(화),18:30,한화2vs9LG,리뷰,잠실,-
109,07.03(수),18:30,한화1vs6LG,리뷰,잠실,-
110,07.04(목),18:30,한화3vs4LG,리뷰,잠실,-
111,07.05(금),18:30,KT10vs3한화,리뷰,대전,-
112,07.06(토),18:00,KT8vs9한화,리뷰,대전,-
113,07.07(일),18:00,KT4vs3한화,리뷰,대전,-
114,07.09(화),18:30,SK0vs1한화,리뷰,대전,-
115,07.11(목),18:30,SK5vs1한화,리뷰,대전,-
116,07.12(금),18:30,한화0vs5KIA,리뷰,광주,-
117,07.13(토),18:00,한화10vs5KIA,리뷰,광주,-
118,07.14(일),18:00,한화7vs10KIA,리뷰,광주,-
119,07.16(화),18:30,NC3vs2한화,리뷰,청주,-
120,07.17(수),18:30,NC14vs1한화,리뷰,청주,-
121,07.18(목),18:30,NC7vs4한화,리뷰,청주,-
122,07.26(금),18:30,한화8vs9삼성,리뷰,대구,-
123,07.27(토),18:00,한화6vs7삼성,리뷰,대구,-
124,07.28(일),18:00,한화6vs13삼성,리뷰,대구,-
125,07.30(화),18:30,한화2vs3KT,리뷰,수원,-
126,07.31(수),18:30,한화5vs2KT,리뷰,수원,-
127,08.01(목),18:30,한화3vs1KT,리뷰,수원,-
128,08.03(토),18:00,SK3vs0한화,리뷰,대전,-
129,08.04(일),17:00,SK2vs8한화,리뷰,대전,-
130,08.06(화),18:30,한화3vs8두산,리뷰,잠실,-
131,08.07(수),18:30,한화7vs5두산,리뷰,잠실,-
132,08.08(목),18:30,한화2vs5KIA,리뷰,광주,-
133,08.09(금),18:30,한화4vs10KIA,리뷰,광주,-
134,08.10(토),18:00,한화4vs5KT,리뷰,수원,-
135,08.11(일),17:00,한화6vs4KT,리뷰,수원,-
136,08.13(화),18:30,NC10vs2한화,리뷰,대전,-
137,08.14(수),18:30,NC3vs9한화,리뷰,대전,-
138,08.15(목),18:00,한화5vs11롯데,리뷰,사직,-
139,08.16(금),18:30,한화2vs1롯데,리뷰,사직,-
140,08.17(토),18:00,한화8vs4키움,리뷰,고척,-
141,08.18(일),17:00,한화5vs4키움,리뷰,고척,-
142,08.20(화),18:30,삼성5vs0한화,리뷰,대전,-
143,08.22(목),18:30,한화6vs8SK,리뷰,문학,-
144,08.23(금),18:30,한화2vs6SK,리뷰,문학,-
145,08.24(토),18:00,두산13vs3한화,리뷰,대전,-
146,08.25(일),17:00,두산3vs2한화,리뷰,대전,-
147,08.27(화),18:30,키움15vs0한화,리뷰,청주,-
148,08.28(수),18:30,키움1vs2한화,리뷰,청주,-
149,08.30(금),18:30,한화1vs0LG,리뷰,잠실,-
150,08.31(토),18:00,KT6vs1한화,리뷰,대전,-
151,09.01(일),14:00,KT1vs6한화,리뷰,대전,-
152,09.03(화),18:30,KIA6vs5한화,리뷰,대전,-
153,09.04(수),18:30,KIA1vs0한화,리뷰,대전,-
154,09.05(목),18:30,한화3vs0NC,리뷰,창원,-
155,09.06(금),19:00,한화0vs4NC,리뷰,창원,-
156,09.07(토),17:00,롯데1vs5한화,리뷰,대전,-
157,09.08(일),14:00,롯데12vs0한화,리뷰,대전,-
158,09.10(화),18:30,LG5vs2한화,리뷰,청주,-
159,09.11(수),18:30,LG5vs9한화,리뷰,청주,-
160,09.13(금),14:00,한화5vs4삼성,리뷰,대구,-
161,09.14(토),17:00,롯데2vs5한화,리뷰,대전,-
162,09.15(일),14:00,롯데7vs1한화,리뷰,대전,-
163,09.16(월),18:30,한화11vs1삼성,리뷰,대구,-
164,09.17(화),18:30,키움0vs1한화,리뷰,대전,-
165,09.20(금),18:30,삼성3vs5한화,리뷰,대전,-
166,09.23(월),18:30,한화9vs1LG,리뷰,잠실,-
167,09.25(수),18:30,한화3vs2NC,리뷰,창원,-
168,09.26(목),18:30,한화4vs2NC,리뷰,창원,-
169,09.28(토),17:00,한화6vs7두산,리뷰,잠실,-
170,09.29(일),14:00,SK2vs0한화,리뷰,대전,-
171,09.30(월),18:30,SK6vs2한화,리뷰,대전,-
172,06.02(화),18:30,키움15vs3한화,리뷰,대전,-
173,06.03(수),18:30,키움6vs2한화,리뷰,대전,-
174,06.04(목),18:30,키움7vs3한화,리뷰,대전,-
175,06.05(금),18:30,NC13vs2한화,리뷰,대전,-
176,06.06(토),14:00,NC14vs2한화,리뷰,대전,-
177,06.07(일),17:00,NC8vs2한화,리뷰,대전,-
178,06.09(화),18:30,한화3vs9롯데,리뷰,사직,-
179,06.10(수),18:30,한화2vs12롯데,리뷰,사직,-
180,06.11(목),18:30,한화0vs5롯데,리뷰,사직,-
181,06.12(금),18:30,두산5vs2한화,리뷰,대전,-
182,06.13(토),17:00,두산6vs7한화,리뷰,대전,-
183,06.14(일),17:00,두산2vs3한화,리뷰,대전,-
184,06.16(화),18:30,LG9vs5한화,리뷰,대전,-
185,06.17(수),18:30,LG7vs1한화,리뷰,대전,-
186,06.18(목),18:30,LG9vs7한화,리뷰,대전,-
187,06.19(금),18:30,한화1vs3NC,리뷰,창원,-
188,06.20(토),17:00,한화4vs3NC,리뷰,창원,-
189,06.21(일),17:00,한화7vs9NC,리뷰,창원,-
190,06.23(화),18:30,한화4vs11삼성,리뷰,대구,-
191,06.24(수),18:30,한화2vs3삼성,리뷰,대구,-
192,06.25(목),18:30,한화9vs2삼성,리뷰,대구,-
193,06.26(금),18:30,KT4vs7한화,리뷰,대전,-
194,06.27(토),17:00,KT7vs2한화,리뷰,대전,-
195,06.28(일),17:00,KT8vs4한화,리뷰,대전,-
196,07.01(수),18:30,한화3vs4KIA,리뷰,광주,-
197,07.02(목),18:30,한화1vs7KIA,리뷰,광주,-
198,07.03(금),18:30,한화1vs2두산,리뷰,잠실,-
199,07.04(토),18:00,한화6vs2두산,리뷰,잠실,-
200,07.05(일),17:00,한화4vs7두산,리뷰,잠실,-
201,07.07(화),18:30,롯데6vs7한화,리뷰,대전,-
202,07.08(수),18:30,롯데6vs2한화,리뷰,대전,-
203,07.09(목),18:30,롯데5vs3한화,리뷰,대전,-
204,07.10(금),18:30,SK5vs6한화,리뷰,대전,-
205,07.11(토),18:00,SK5vs3한화,리뷰,대전,-
206,07.13(월),18:30,SK2vs4한화,리뷰,대전,-
207,07.14(화),18:30,한화2vs7KT,리뷰,수원,-
208,07.15(수),18:30,한화7vs3KT,리뷰,수원,-
209,07.16(목),18:30,한화1vs4KT,리뷰,수원,-
210,07.17(금),18:30,한화0vs8LG,리뷰,잠실,-
211,07.18(토),18:00,한화1vs3LG,리뷰,잠실,-
212,07.19(일),17:00,한화2vs6LG,리뷰,잠실,-
213,07.21(화),18:30,KIA10vs2한화,리뷰,대전,-
214,07.22(수),18:30,KIA2vs1한화,리뷰,대전,-
215,07.24(금),18:30,SK7vs4한화,리뷰,대전,-
216,07.26(일),17:00,SK7vs4한화,리뷰,대전,-
217,07.27(월),18:30,SK5vs5한화,리뷰,대전,-
218,07.29(수),18:30,한화12vs7삼성,리뷰,대구,-
219,07.30(목),18:30,한화1vs2삼성,리뷰,대구,-
220,07.31(금),18:30,한화2vs1LG,리뷰,잠실,-
221,08.01(토),18:00,한화6vs9LG,리뷰,잠실,-
222,08.05(수),18:30,NC5vs8한화,리뷰,대전,-
223,08.06(목),18:30,NC4vs1한화,리뷰,대전,-
224,08.09(일),17:00,KT6vs3한화,리뷰,대전,-
225,08.11(화),18:30,한화7vs5키움,리뷰,고척,-
226,08.12(수),18:30,한화2vs3키움,리뷰,고척,-
227,08.13(목),18:30,한화3vs6키움,리뷰,고척,-
228,08.14(금),18:30,삼성10vs1한화,리뷰,대전,-
229,08.15(토),17:00,삼성2vs0한화,리뷰,대전,-
230,08.16(일),17:00,삼성2vs3한화,리뷰,대전,-
231,08.18(화),18:30,한화3vs9SK,리뷰,문학,-
232,08.19(수),18:30,한화6vs26SK,리뷰,문학,-
233,08.20(목),18:30,KT3vs0한화,리뷰,대전,-
234,08.21(금),18:30,KT1vs5한화,리뷰,대전,-
235,08.23(일),17:00,한화4vs3LG,리뷰,잠실,-
236,08.24(월),18:30,한화6vs3LG,리뷰,잠실,-
237,08.25(화),18:30,한화3vs11NC,리뷰,창원,-
238,08.26(수),18:30,한화5vs9NC,리뷰,창원,-
239,08.27(목),18:30,삼성0vs7한화,리뷰,대전,-
240,08.29(토),18:00,한화7vs9롯데,리뷰,사직,-
241,08.30(일),17:00,한화2vs6롯데,리뷰,사직,-
242,09.01(화),18:30,한화0vs4두산,리뷰,잠실,-
243,09.03(목),18:30,키움6vs5한화,리뷰,대전,-
244,09.04(금),18:30,키움1vs7한화,리뷰,대전,-
245,09.05(토),17:00,KIA5vs4한화,리뷰,대전,-
246,09.06(일),14:00,KIA8vs4한화,리뷰,대전,-
247,09.08(화),18:30,한화4vs2삼성,리뷰,대구,-
248,09.09(수),15:00,한화4vs4삼성,리뷰,대구,-
249,09.09(수),18:30,한화7vs0삼성,리뷰,대구,-
250,09.10(목),18:30,SK5vs1한화,리뷰,대전,-
251,09.11(금),18:30,SK4vs3한화,리뷰,대전,-
252,09.12(토),17:00,한화2vs5KT,리뷰,수원,-
253,09.13(일),14:00,한화4vs5KT,리뷰,수원,-
254,09.15(화),18:30,LG5vs6한화,리뷰,대전,-
255,09.16(수),18:30,LG11vs5한화,리뷰,대전,-
256,09.17(목),18:30,한화2vs5키움,리뷰,고척,-
257,09.18(금),18:30,한화2vs0키움,리뷰,고척,-
258,09.19(토),17:00,한화0vs8KIA,리뷰,광주,-
259,09.20(일),14:00,한화11vs3KIA,리뷰,광주,-
260,09.22(화),18:30,두산1vs5한화,리뷰,대전,-
261,09.23(수),18:30,두산5vs6한화,리뷰,대전,-
262,09.24(목),18:30,롯데4vs7한화,리뷰,대전,-
263,09.25(금),18:30,롯데5vs6한화,리뷰,대전,-
264,09.26(토),17:00,NC13vs1한화,리뷰,대전,-
265,09.27(일),14:00,NC5vs4한화,리뷰,대전,-
266,09.29(화),18:30,두산7vs3한화,리뷰,대전,-
267,09.30(수),14:00,두산0vs10한화,리뷰,대전,-
